Potential/V, Current/A
-0.741,1.13E-02
-0.74,1.14E-02
-0.739,1.15E-02
-0.738,1.15E-02
-0.737,1.16E-02
-0.736,1.17E-02
-0.735,1.18E-02
-0.734,1.19E-02
-0.733,1.20E-02
-0.732,1.21E-02
-0.731,1.22E-02
-0.73,1.23E-02
-0.729,1.24E-02
-0.728,1.24E-02
-0.727,1.25E-02
-0.726,1.26E-02
-0.725,1.27E-02
-0.724,1.28E-02
-0.723,1.29E-02
-0.722,1.29E-02
-0.721,1.30E-02
-0.72,1.31E-02
-0.719,1.32E-02
-0.718,1.33E-02
-0.717,1.34E-02
-0.716,1.35E-02
-0.715,1.36E-02
-0.714,1.36E-02
-0.713,1.37E-02
-0.712,1.38E-02
-0.711,1.39E-02
-0.71,1.40E-02
-0.709,1.41E-02
-0.708,1.42E-02
-0.707,1.43E-02
-0.706,1.44E-02
-0.705,1.45E-02
-0.704,1.46E-02
-0.703,1.46E-02
-0.702,1.47E-02
-0.701,1.48E-02
-0.7,1.49E-02
-0.699,1.50E-02
-0.698,1.51E-02
-0.697,1.52E-02
-0.696,1.53E-02
-0.695,1.54E-02
-0.694,1.55E-02
-0.693,1.56E-02
-0.692,1.57E-02
-0.691,1.58E-02
-0.69,1.59E-02
-0.689,1.60E-02
-0.688,1.60E-02
-0.687,1.61E-02
-0.686,1.62E-02
-0.685,1.64E-02
-0.684,1.65E-02
-0.683,1.66E-02
-0.682,1.67E-02
-0.681,1.68E-02
-0.68,1.68E-02
-0.679,1.70E-02
-0.678,1.70E-02
-0.677,1.72E-02
-0.676,1.73E-02
-0.675,1.74E-02
-0.674,1.75E-02
-0.673,1.76E-02
-0.672,1.77E-02
-0.671,1.79E-02
-0.67,1.79E-02
-0.669,1.81E-02
-0.668,1.82E-02
-0.667,1.83E-02
-0.666,1.84E-02
-0.665,1.85E-02
-0.664,1.86E-02
-0.663,1.88E-02
-0.662,1.89E-02
-0.661,1.90E-02
-0.66,1.91E-02
-0.659,1.93E-02
-0.658,1.94E-02
-0.657,1.95E-02
-0.656,1.96E-02
-0.655,1.97E-02
-0.654,1.98E-02
-0.653,1.99E-02
-0.652,2.00E-02
-0.651,2.02E-02
-0.65,2.03E-02
-0.649,2.04E-02
-0.648,2.05E-02
-0.647,2.07E-02
-0.646,2.08E-02
-0.645,2.09E-02
-0.644,2.10E-02
-0.643,2.12E-02
-0.642,2.13E-02
-0.641,2.14E-02
-0.64,2.15E-02
-0.639,2.17E-02
-0.638,2.18E-02
-0.637,2.19E-02
-0.636,2.20E-02
-0.635,2.21E-02
-0.634,2.22E-02
-0.633,2.24E-02
-0.632,2.25E-02
-0.631,2.26E-02
-0.63,2.27E-02
-0.629,2.28E-02
-0.628,2.29E-02
-0.627,2.30E-02
-0.626,2.31E-02
-0.625,2.32E-02
-0.624,2.34E-02
-0.623,2.34E-02
-0.622,2.36E-02
-0.621,2.37E-02
-0.62,2.38E-02
-0.619,2.38E-02
-0.618,2.40E-02
-0.617,2.41E-02
-0.616,2.41E-02
-0.615,2.42E-02
-0.614,2.44E-02
-0.613,2.45E-02
-0.612,2.45E-02
-0.611,2.46E-02
-0.61,2.48E-02
-0.609,2.48E-02
-0.608,2.49E-02
-0.607,2.50E-02
-0.606,2.50E-02
-0.605,2.51E-02
-0.604,2.52E-02
-0.603,2.53E-02
-0.602,2.53E-02
-0.601,2.54E-02
-0.6,2.54E-02
-0.599,2.55E-02
-0.598,2.55E-02
-0.597,2.55E-02
-0.596,2.55E-02
-0.595,2.55E-02
-0.594,2.55E-02
-0.593,2.55E-02
-0.592,2.54E-02
-0.591,2.53E-02
-0.59,2.52E-02
-0.589,2.50E-02
-0.588,2.48E-02
-0.587,2.45E-02
-0.586,2.42E-02
-0.585,2.38E-02
-0.584,2.34E-02
-0.583,2.30E-02
-0.582,2.26E-02
-0.581,2.23E-02
-0.58,2.19E-02
-0.579,2.16E-02
-0.578,2.13E-02
-0.577,2.10E-02
-0.576,2.07E-02
-0.575,2.04E-02
-0.574,2.01E-02
-0.573,1.98E-02
-0.572,1.95E-02
-0.571,1.92E-02
-0.57,1.89E-02
-0.569,1.86E-02
-0.568,1.83E-02
-0.567,1.79E-02
-0.566,1.75E-02
-0.565,1.71E-02
-0.564,1.67E-02
-0.563,1.61E-02
-0.562,1.54E-02
-0.561,1.46E-02
-0.56,1.36E-02
-0.559,1.27E-02
-0.558,1.20E-02
-0.557,1.14E-02
-0.556,1.08E-02
-0.555,1.04E-02
-0.554,1.00E-02
-0.553,9.72E-03
-0.552,9.40E-03
-0.551,9.07E-03
-0.55,8.74E-03
-0.549,8.39E-03
-0.548,8.04E-03
-0.547,7.66E-03
-0.546,7.25E-03
-0.545,6.81E-03
-0.544,6.34E-03
-0.543,5.82E-03
-0.542,5.22E-03
-0.541,4.48E-03
-0.54,3.34E-03
-0.539,2.33E-03
-0.538,1.99E-03
-0.537,1.78E-03
-0.536,1.64E-03
-0.535,1.52E-03
-0.534,1.43E-03
-0.533,1.36E-03
-0.532,1.31E-03
-0.531,1.26E-03
-0.53,1.22E-03
-0.529,1.18E-03
-0.528,1.16E-03
