t,U,R
0.0,0.0,102.4
32.7,16.47,113.88640835242838
42.0,21.43,117.47439831789667
50.0,24.16,119.47575514194922
60.0,28.62,122.78673893151263
70.0,34.94,127.56853868602748
80.0,39.81,131.32726130427758
90.0,44.83,135.27116488851053
100.0,50.18,139.5540532630963
